"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"107985513",-0.224648611658953,2.73569869903957,-0.87271210391844,0.3845000021648,0.710101406371239,-6.24414953896098
"9364",0.0935007585120412,8.5464016811669,0.87267732722524,0.38451888891929,0.710102981431665,-6.2441794132566
"114905",-0.193373237779446,1.52264067120273,-0.872537576534196,0.384594791431393,0.710209844177767,-6.2442994517298
"51241",0.131430312036916,8.15450191149926,0.872412567278752,0.384662695315055,0.710295887773102,-6.24440681199908
"107987267",-0.177269453023629,0.554339561396225,-0.8723853810626,0.384677463601214,0.710295887773102,-6.24443015801495
"389906",0.221170477830768,5.54765772439873,0.872268874724203,0.384740756962249,0.710359451729335,-6.24453019906436
"27302",-0.195413552263017,1.06375366783393,-0.872255600037538,0.384747968992065,0.710359451729335,-6.24454159686501
"4356",0.218739730098448,2.91351116620017,0.872174981549884,0.384791770160843,0.710394740234123,-6.24461081315831
"105374246",-0.140259273481697,0.579390922232645,-0.872154010140288,0.384803164731146,0.710394740234123,-6.24462881746215
"5573",-0.176368928093651,12.473562733957,-0.872111620358368,0.384826197361329,0.710403954397548,-6.24466520848922
"91653",0.163572099752367,2.10365579360699,0.87204739556709,0.384861095742557,0.710435071302749,-6.24472034123394
"131566",-0.140265148646626,5.76154435450138,-0.871922836004608,0.384928784333177,0.710526711602436,-6.24482725596738
"149134",0.21272049823952,1.64973428265314,0.87177137368179,0.385011102439396,0.71064534616105,-6.244957242154
"107986720",-0.0673880865456731,0.0919441468311203,-0.871652621199241,0.385075650724139,0.710731171974955,-6.2450591408936
"146212",0.225839794374879,1.51483984564933,0.87153388800952,0.385140195215185,0.710740701482295,-6.2451610093716
"2202",-0.0993067148136804,0.194199468411346,-0.871379500624097,0.385224131674402,0.710740701482295,-6.24529344727117
"109616965",-0.126385192296598,0.552416765947421,-0.871354114820561,0.385237934367454,0.710740701482295,-6.24531522171855
"8790",0.116360751505841,9.00855484128529,0.871096768445153,0.385377875236529,0.710740701482295,-6.24553592291539
"85365",-0.122610771626369,8.70412653376705,-0.871011254498562,0.385424383320032,0.710740701482295,-6.24560924573753
"1382",0.116226975797235,5.12531290659645,0.87090181940944,0.385483906350241,0.710740701482295,-6.2457030690615
"105374062",-0.152386671910694,0.627477380082276,-0.870834328646407,0.38552061820264,0.710740701482295,-6.24576092593847
"677838",0.150896402161767,4.21763122584513,0.870594326212923,0.385651185934974,0.710740701482295,-6.24596663364402
"7696",-0.139745413962177,6.62649026693,-0.870396217175334,0.385758983137194,0.710740701482295,-6.24613639204447
"100133286",0.166686144490629,4.42968713254562,0.870264543287311,0.385830641241157,0.710740701482295,-6.24624920146943
"205428",-0.119588197046133,9.18441767302293,-0.870132242783718,0.385902648641486,0.710740701482295,-6.24636253075923
"100422955",-0.159999960046586,0.844744791343222,-0.870095325353246,0.385922743230879,0.710740701482295,-6.24639415138253
"55809",-0.175177276549071,9.36253173782032,-0.869954233554609,0.385999547106855,0.710740701482295,-6.24651498752451
"1358",-0.0839768653857247,0.166069940504808,-0.869900525610518,0.386028785719894,0.710740701482295,-6.2465609798728
"105373212",0.17761913801893,1.38612389089313,0.86986299564626,0.386049217850609,0.710740701482295,-6.24659311667888
"127068",0.0578831731046601,0.0919441468311203,0.869704312381919,0.386135615865975,0.710740701482295,-6.24672898158915
"56126",0.0578831731046601,0.0919441468311203,0.869704312381919,0.386135615865975,0.710740701482295,-6.24672898158915
"105371922",0.0578831731046598,0.0919441468311203,0.869704312381914,0.386135615865978,0.710740701482295,-6.24672898158917
"56650",-0.120844403821984,10.4016264301048,-0.869697381771631,0.386139389636244,0.710740701482295,-6.24673491503276
"642778",-0.173861559296776,6.91677382931919,-0.86953762764688,0.386226383295346,0.710740701482295,-6.24687167100823
"56122",0.0883492575259786,0.183149330135324,0.869212627131324,0.386403398785493,0.710740701482295,-6.24714980796984
"10758",-0.132509717108409,7.77797194736294,-0.869179668662933,0.386421352815436,0.710740701482295,-6.24717800824575
"283481",0.210373080776573,2.1657754806523,0.869093307428273,0.386468400291532,0.710740701482295,-6.24725189655593
"105373208",0.0619168401807639,0.0786261158381628,0.868828781706466,0.386612529413638,0.710740701482295,-6.24747817240349
"105374382",0.220573325061699,3.80988025546553,0.868638907820179,0.386716004303121,0.710740701482295,-6.2476405489717
"51218",0.111581546351531,9.15793220864757,0.86861213031855,0.386730598517908,0.710740701482295,-6.24766344576587
"284080",0.156558457149196,0.628388359822354,0.868562854151335,0.386757455794542,0.710740701482295,-6.24770557880299
"1770",-0.136829621717738,0.599167534108277,-0.86846609008354,0.386810199029938,0.710740701482295,-6.24778830896955
"101929198",-0.0648895288256286,0.112459722233669,-0.868361665716936,0.386867122650491,0.710740701482295,-6.24787757823134
"200844",-0.187512975701646,1.42439130081331,-0.868257520787622,0.386923899096053,0.710740701482295,-6.2479665980502
