"EntrezID","Symbol","logFC","adj.P.Val"
"55388","MCM10",-2.89997158062121,0.000000000000174415350688405
"55872","PBK",-2.91608159940782,0.000000000000174415350688405
"990","CDC6",-2.2001931957995,0.000000000000174415350688405
"7153","TOP2A",-2.80208515684912,0.000000000000174415350688405
"9833","MELK",-2.51201276575956,0.000000000000178875927783599
"51514","DTL",-2.62089456639109,0.000000000000178875927783599
"51296","SLC15A3",1.13380364892725,0.000000000000178875927783599
"157570","ESCO2",-2.46249602309657,0.000000000000287849773402085
"55789","DEPDC1B",-2.56290365161725,0.00000000000030535423949061
